Unit,Region,Station,Addr,Lat,Lon
"交通部","臺北市","臺鐵局臺北站地下三樓剪收票口(R13)","100臺北市中正區北平西路3號","25.048203","121.515698"
"交通部","臺北市","臺鐵局臺北站大廳東側","100臺北市中正區北平西路3號","25.048203","121.515698"
"交通部","臺北市","臺鐵局臺北站大廳西側","100臺北市中正區北平西路3號","25.048203","121.515698"
"交通部","臺北市","臺鐵局臺北站東剪票入口(地下1樓)","100臺北市中正區北平西路3號","25.048203","121.515698"
"交通部","臺北市","臺鐵局臺北站西剪票入口(地下1樓)","100臺北市中正區北平西路3號","25.048203","121.515698"
"交通部","臺北市","交通部臺灣鐵路管理局第9會議室","100臺北市中正區北平西路3號3樓","25.0468873","121.5173708"
"交通部","臺北市","臺鐵局行政處檔案閱覽室","100臺北市中正區北平西路3號4樓4101室","25.048203","121.515698"
"交通部","臺北市","交通部臺灣鐵路管理局演藝廳-1","100臺北市中正區北平西路3號5樓","25.0468873","121.5173708"
"交通部","臺北市","交通部臺灣鐵路管理局演藝廳-2","100臺北市中正區北平西路3號5樓","25.0468873","121.5173708"
"交通部","臺北市","交通部臺灣鐵路管理局演藝廳-3","100臺北市中正區北平西路3號5樓","25.0468873","121.5173708"
"交通部","臺北市","交通部臺灣鐵路管理局第1會議室-1","100臺北市中正區北平西路3號5樓","25.0468873","121.5173708"
"交通部","臺北市","交通部臺灣鐵路管理局第1會議室-2","100臺北市中正區北平西路3號5樓","25.0468873","121.5173708"
"交通部","臺北市","交通部臺灣鐵路管理局第2會議室","100臺北市中正區北平西路3號5樓","25.0468873","121.5173708"
"交通部","臺北市","交通部臺灣鐵路管理局第3會議室","100臺北市中正區北平西路3號5樓","25.0468873","121.5173708"
"交通部","臺北市","臺鐵局秘書室新聞聯絡室","100臺北市中正區北平西路3號5樓5007室","25.048203","121.515698"
"交通部","臺北市","臺鐵局材料處公開閱覽室","100臺北市中正區北平西路3號5樓5075室","25.048203","121.515698"
"交通部","臺北市","交通部臺灣鐵路管理局第4會議室","100臺北市中正區北平西路3號6樓","25.0468873","121.5173708"
"交通部","臺北市","交通部臺灣鐵路管理局第5會議室","100臺北市中正區北平西路3號6樓","25.0468873","121.5173708"
"交通部","臺北市","臺鐵局秘書室國會聯絡室","100臺北市中正區北平西路3號6樓6002室","25.048203","121.515698"
"文化部","臺北市","國立臺灣博物館南門園區小白宮展演廳","100臺北市中正區南昌路1段1號","25.034186","121.516118"
"文化部","臺北市","國立臺灣博物館南門園區紅樓1樓","100臺北市中正區南昌路1段1號","25.034186","121.516118"
"文化部","臺北市","國立臺灣博物館南門園區紅樓2樓","100臺北市中正區南昌路1段1號","25.034186","121.516118"
"文化部","臺北市","國立臺灣博物館南門園區行政大樓","100臺北市中正區南昌路1段1號","25.034186","121.516118"
"交通部","臺北市","台北古亭郵局","100臺北市中正區南昌路二段232號","25.023685","121.524667"
"財政部","臺北市","第一商業銀行(南門分行)","100臺北市中正區南昌路１段94號","25.030508","121.517691"
"行政院農業委員會","臺北市","行政院農業委員會1樓記者室","100臺北市中正區南海路37號","25.03222","121.513156"
"行政院農業委員會","臺北市","行政院農業委員會2樓","100臺北市中正區南海路37號","25.03222","121.513156"
"行政院農業委員會","臺北市","行政院農業委員會10樓","100臺北市中正區南海路37號10樓","25.03222","121.513156"
"行政院農業委員會","臺北市","行政院農業委員會10樓辦公區","100臺北市中正區南海路37號10樓","25.03222","121.513156"
"行政院農業委員會","臺北市","行政院農業委員會1樓大廳","100臺北市中正區南海路37號1樓","25.031717","121.513317"
"行政院農業委員會","臺北市","行政院農業委員會2樓辦公區","100臺北市中正區南海路37號2樓","25.03222","121.513156"
"行政院農業委員會","臺北市","行政院農業委員會3樓","100臺北市中正區南海路37號3樓","25.03222","121.513156"
"行政院農業委員會","臺北市","行政院農業委員會3樓辦公區","100臺北市中正區南海路37號3樓","25.03222","121.513156"
"行政院農業委員會","臺北市","行政院農業委員會4樓","100臺北市中正區南海路37號4樓","25.03222","121.513156"
"行政院農業委員會","臺北市","行政院農業委員會4樓辦公區","100臺北市中正區南海路37號4樓","25.03222","121.513156"
"行政院農業委員會","臺北市","行政院農業委員會5F右側","100臺北市中正區南海路37號5樓右側","25.031717","121.513317"
"行政院農業委員會","臺北市","行政院農業委員會5F左側","100臺北市中正區南海路37號5樓左側","25.031717","121.513317"
"行政院農業委員會","臺北市","行政院農業委員會6樓","100臺北市中正區南海路37號6樓","25.03222","121.513156"
"行政院農業委員會","臺北市","行政院農業委員會7樓","100臺北市中正區南海路37號7樓","25.03222","121.513156"
"行政院農業委員會","臺北市","行政院農業委員會7樓辦公區","100臺北市中正區南海路37號7樓","25.03222","121.513156"
"行政院農業委員會","臺北市","行政院農業委員會8樓","100臺北市中正區南海路37號8樓","25.03222","121.513156"
"行政院農業委員會","臺北市","行政院農業委員會8樓辦公區","100臺北市中正區南海路37號8樓","25.03222","121.513156"
"行政院農業委員會","臺北市","行政院農業委員會9樓","100臺北市中正區南海路37號9樓","25.03222","121.513156"
"行政院農業委員會","臺北市","行政院農業委員會9樓辦公區","100臺北市中正區南海路37號9樓","25.03222","121.513156"
"行政院農業委員會","臺北市","行政院農業委員會地下1樓圖書室","100臺北市中正區南海路37號地下1樓","25.03222","121.513156"
"財政部","臺北市","中國輸出入銀行總行","100臺北市中正區南海路3號8樓","25.032835","121.516836"
"教育部","臺北市","國立教育廣播電臺服務中心","100臺北市中正區南海路41號","25.031779","121.512333"
"教育部","臺北市","國立臺灣藝術教育館南海書院第2會議室","100臺北市中正區南海路43號","25.0323","121.5121"
"教育部","臺北市","國立臺灣藝術教育館圖書室","100臺北市中正區南海路43號","25.031945","121.51449"
"教育部","臺北市","國立臺灣藝術教育館南海劇場","100臺北市中正區南海路47號","25.0316","121.5117"
"交通部","臺北市","台北史博館郵局","100臺北市中正區南海路49號","25.031454","121.511227"
"文化部","臺北市","國立歷史博物館戶外廣場","100臺北市中正區南海路49號","25.031454","121.511227"
"行政院農業委員會","臺北市","台北植物園布政使司文物館","100臺北市中正區南海路53號","25.031211","121.510191"
"行政院農業委員會","臺北市","林業試驗所行政大樓","100臺北市中正區南海路53號","25.031211","121.510191"
