Unit,Region,Station,Addr,Lat,Lon
內政部,高雄市,高雄市路竹區戶政事務所,821高雄市路竹區國路86巷26號,22.855425,120.259556
內政部,高雄市,高雄市六龜區戶政事務所,844高雄市六龜區民治路18-2號,22.999721,120.632973
內政部,高雄市,高雄市鼓山區戶政事務所,804高雄市鼓山區鼓山二路166號1樓,22.637263,120.281024
內政部,高雄市,高雄市鼓山區戶政事務所第二辦公處,804高雄市鼓山區中華一路45號2樓,22.667799,120.289907
內政部,高雄市,高雄市湖內區戶政事務所,829高雄市湖內區中正路二段97號,22.908367,120.210727
內政部,高雄市,高雄市大樹區戶政事務所,840高雄市大樹區檨腳里4鄰中興南路17號,22.690527,120.433331
內政部,高雄市,高雄市左營區戶政事務所第二辦公處,813高雄市左營區立信路22號,22.666254,120.307932
內政部,高雄市,高雄市仁武區戶政事務所,814高雄市仁武區中正路94號4樓,22.701455,120.348299
內政部,高雄市,高雄市梓官區戶政事務所,826高雄市梓官區進學路5號,22.761125,120.266368
內政部,高雄市,高雄市杉林區戶政事務所,846高雄市杉林區山仙路87號,22.974574,120.541775
內政部,高雄市,高雄市鹽埕區戶政事務所,803高雄市鹽埕區大仁路6號七樓,22.624707,120.286689
內政部,高雄市,高雄市燕巢區戶政事務所,824高雄市燕巢區南燕里14鄰中民路585之1號,22.792918,120.362091
內政部,高雄市,高雄市永安區戶政事務所,828高雄市永安區永安路24號,22.819023,120.226365
內政部,新北市,新北市五股戶政事務所八里區所-1,249新北市八里區訊塘路39號1樓,25.146178,121.397418
內政部,新北市,新北市三重戶政事務所5F-1,241新北市三重區新北大道1段9號5樓,25.06099,121.489167
內政部,新北市,新北市三重戶政事務所溪美辦事處2F,241新北市三重區溪尾街73號2樓,25.077693,121.490849
內政部,新北市,新北市三峽戶政事務所5F-1,237新北市三峽區光明路71號5樓,24.9285479,121.375924
內政部,新北市,新北市土城戶政事務所_A,236新北市土城區和平路28號1樓,24.972574,121.443044
內政部,新北市,新北市永和戶政事務所2F-1,234新北市永和區竹林路200-1號2樓,25.008961,121.520279
內政部,新北市,新北市中和戶政事務所員山辦事處-1,235新北市中和區中正路1163號3樓,25.009033,121.48178
內政部,新北市,新北市中和戶政事務所民享辦事處,235新北市中和區民享街37號2樓之1,25.0035462,121.4741203
內政部,新北市,新北市中和戶政事務所4F_A,235新北市中和區南山路236號4樓,24.98972,121.506447
內政部,新北市,新北市五股戶政事務所_A,248新北市五股區中興路4段70號1樓,25.0830706,121.4376993
內政部,新北市,新北市瑞芳戶政事務所平溪區所,226新北市平溪區平溪街43號1樓,25.0264839,121.73827
內政部,新北市,新北市永和戶政事務所1F_A,234新北市永和區竹林路200-1號1樓,25.008961,121.520279
內政部,新北市,新北市金山戶政事務所石門區所,253新北市石門區中山路66號1樓,25.291248,121.567631
內政部,新北市,新北市新店戶政事務所石碇區所,223新北市石碇區碇坪路1段88號,24.991319,121.660435
內政部,新北市,新北市汐止戶政事務所中興辦事處,221新北市汐止區福德一路258號2樓,25.0646459,121.633342
內政部,新北市,新北市新店戶政事務所坪林區所3F_A,232新北市坪林區坪林106-1號3樓,24.936094,121.711781
內政部,新北市,新北市林口戶政事務所1F,244新北市林口區仁愛路1段378號1樓,25.0767573,121.3890001
內政部,新北市,新北市板橋戶政事務所溪崑工作站,220新北市板橋區溪北路111號4樓,24.9887269,121.430444
內政部,新北市,新北市板橋戶政事務所海山辦事處_A,220新北市板橋區漢生東路195-1號1樓,25.011582,121.470433
